Parameter,Abbreviations,Display text,Values,Default,Level,Tooltip
responseCurves,P,Create response curves,boolean,FALSE,CORE,<html>Create graphs showing how predicted relative probability of occurrence depends on the value of each environmental variable
pictures,,Make pictures of predictions,boolean,TRUE,CORE,Create a .png image for each output grid
jackknife,J,Do jackknife to measure variable importance,boolean,FALSE,CORE,"<html>Measure importance of each environmental variable by training with each environmental variable first omitted, then used in isolation"
outputFormat,,Output format,string/Cloglog/Logistic/Cumulative/Raw,Logistic,CORE,Representation of probabilities used in writing output grids.  See Help for details
outputFileType,,Output file type,string/asc/mxe/grd/bil,asc,CORE,<html>File format used for writing output grids
outputDirectory,o,Output directory,directory,,CORE,Directory where outputs will be written.  This should be different from the environmental layers directory.
projectionLayers,j,Projection layers directory/file,filedirectory,,CORE,<html>Location of an alternate set of environmental variables.  Maxent models will be projected onto these variables.<br>Can be a .csv file (in SWD format) or a directory containing one file per variable.<br>Multiple projection files/directories can be separated by commas.
samplesFile,s,Samples,file,,SPECIAL,Please enter the name of a file containing presence locations for one or more species.
environmentalLayers,e,Environmental layers,filedirectory,,SPECIAL,"<html>Environmental variables can be in a directory containing one file per variable, <br>or all together in a .csv file in SWD format.  Please enter a directory name or file name."
randomseed,,Random seed,boolean,FALSE,BASIC,"<html>If selected, a different random seed will be used for each run, so a different random test/train partition<br>will be made and a different random subset of the background will be used, if applicable."
logscale,,Logscale raw/cumulative pictures,boolean,TRUE,EXPERIMENTAL,"<html>If selected, all pictures of models will use a logarithmic scale for color-coding."
warnings,,Give visual warnings,boolean,TRUE,BASIC,"<html>Pop up windows to warn about potential problems with input data.<br>Regardless of this setting, warnings are always printed to the log file."
tooltips,,Show tooltips,boolean,TRUE,BASIC,"Show messages that explain various parts of the interface, like this message"
askoverwrite,r,Ask before overwriting,boolean,TRUE,BASIC,"<html>If output files already exist for a species being modeled,<br>pop up a window asking whether to overwrite or skip.  Default is to overwrite."
skipIfExists,S,Skip if output exists,boolean,FALSE,BASIC,"<html>If output files already exist for a species being modeled,<br>skip the species without remaking the model."
removeDuplicates,,Remove duplicate presence records,boolean,TRUE,BASIC,"<html>Remove duplicate presence records.<br>If environmental data are in grids, duplicates are records in the same grid cell.<br>Otherwise, duplicates are records with identical coordinates."
writeClampGrid,,Write clamp grid when projecting,boolean,TRUE,BASIC,"<html>Write a grid that shows the spatial distribution of clamping.<br>At each point, the value is the absolute difference between prediction values with and without clamping."
writeMESS,,Do MESS analysis when projecting,boolean,TRUE,BASIC,"<html>A multidimensional environmental similarity surface (MESS) shows where novel climate conditions exist in the projection layers.<br>The analysis shows both the degree of novelness and the variable that is most out of range at each point."
randomTestPoints,X,Random test percentage,integer,0,BASIC,"<html>Percentage of presence localities to be randomly set aside as test points, used to compute AUC, omission etc."
betaMultiplier,b,Regularization multiplier,double,1,BASIC,Multiply all automatic regularization parameters by this number.  A higher number gives a more spread-out distribution.
maximumbackground,MB,Max number of background points,integer,10000,BASIC,"If the number of background points / grid cells is larger than this number, then this number of cells is chosen randomly for background points"
biasFile,,Bias file,file,,ADVANCED,"<html>Sampling is assumed to be biased according to the sampling distribution given in this grid file.<br>Values in this file must not be zero or negative.  MaxEnt will factor out the bias.<br>Requires environmental data to be in grids, rather than a SWD format file"
testSamplesFile,T,Test sample file,file/csv,,BASIC,"<html>Use the presence localities in this file to compute statistics (AUC, omission etc.)<br>The file can contain different localities for different species.<br>It takes precedence over the random test percentage."
replicates,,Replicates,integer/1/10000,1,BASIC,"Number of replicate runs to do when cross-validating, bootstrapping or doing sampling with replacement runs"
replicatetype,,Replicated run type,string/Crossvalidate/Bootstrap/Subsample,Crossvalidate,BASIC,"<html>If replicates > 1, do multiple runs of this type:<br>Crossvalidate: samples divided into <i>replicates</i> folds; each fold in turn used for test data.<br>Bootstrap: replicate sample sets chosen by sampling with replacement.<br>Subsample: replicate sample sets chosen by removing <i>random test percentage</i> without replacement to be used for evaluation."
perSpeciesResults,,Per species results,boolean,FALSE,EXPERIMENTAL,Write separate maxentResults file for each species
writeBackgroundPredictions,,Write background predictions,boolean,FALSE,EXPERIMENTAL,Write .csv file with predictions at background points
biasIsBayesianPrior,,Bias is Bayesian prior,boolean,FALSE,HIDDEN,Bias file is really a Bayesian prior
responseCurvesExponent,,Show exponent in response curves,boolean,FALSE,EXPERIMENTAL,"Instead of showing the logistic value for the y axis in response curves, show the exponent (a linear combination of features)"
linear,l,Linear features,boolean,TRUE,SPECIAL,Allow linear features to be used
quadratic,q,Quadratic features,boolean,TRUE,SPECIAL,Allow quadratic features to be used
product,p,Product features,boolean,TRUE,SPECIAL,Allow product features to be used
threshold,,Threshold features,boolean,TRUE,SPECIAL,Allow threshold features to be used
hinge,h,Hinge features,boolean,TRUE,SPECIAL,Allow hinge features to be used
polyhedral,,Polyhedral features,boolean,FALSE,HIDDEN,
